date,Bombing/Explosion,Armed Assault,Assassination,Hostage Taking (Kidnapping),Facility/Infrastructure Attack
1970,252.66666666666666,56.0,119.0,24.333333333333332,93.66666666666667
1971,479.41666666666663,113.5,249.25,53.08333333333333,172.91666666666669
1972,717.4166666666666,168.7,385.05,83.48333333333332,244.7166666666667
1973,962.6166666666666,227.89999999999998,552.65,111.88333333333333,294.5166666666667
1974,1243.8166666666666,303.09999999999997,747.05,145.28333333333333,349.3166666666667
1975,1613.8166666666666,416.5,917.65,188.88333333333333,436.7166666666667
1976,2082.8166666666666,565.7,1108.05,243.08333333333331,553.1166666666667
1977,2706.8166666666666,795.1,1372.05,319.0833333333333,700.5166666666667
1978,3456.4166666666665,1123.1,1723.4499999999998,417.6833333333333,868.7166666666667
1979,4338.616666666667,1565.6999999999998,2115.0499999999997,531.6833333333333,1044.5166666666667
1980,5319.616666666667,2090.5,2549.45,653.2833333333333,1213.5166666666667
1981,6421.016666666666,2737.5,3003.25,780.6833333333333,1374.7166666666667
1982,7666.016666666666,3459.7,3440.45,894.2833333333333,1528.9166666666667
1983,9007.816666666666,4198.9,3816.25,1003.0833333333333,1677.1166666666668
1984,10434.416666666666,4917.099999999999,4185.25,1106.4833333333333,1823.3166666666668
1985,11931.616666666667,5661.9,4581.25,1208.6833333333334,1963.9166666666667
1986,13509.216666666667,6420.7,5069.45,1307.8833333333334,2106.3166666666666
1987,15091.016666666666,7239.099999999999,5665.05,1417.6833333333334,2264.3166666666666
1988,16722.816666666666,8100.7,6373.85,1537.8833333333334,2432.7166666666667
1989,18451.016666666666,9098.5,7154.450000000001,1683.4833333333333,2643.516666666667
1990,20231.416666666668,10202.1,8058.250000000001,1837.6833333333334,2924.7166666666667
1991,21912.81666666667,11284.5,8952.050000000001,2008.2833333333333,3213.516666666667
1992,23393.01666666667,12290.7,9795.650000000001,2181.0833333333335,3513.516666666667
1994,24770.81666666667,13249.7,10559.250000000002,2351.2833333333333,3818.7166666666667
1995,25975.81666666667,14119.300000000001,11260.850000000002,2536.883333333333,4080.7166666666667
1996,26934.01666666667,14776.300000000001,11745.050000000003,2702.6833333333334,4259.916666666667
1997,27792.01666666667,15343.7,12087.250000000004,2853.0833333333335,4424.116666666667
1998,28672.41666666667,15863.5,12304.250000000004,3000.2833333333333,4551.316666666667
1999,29469.21666666667,16372.9,12451.250000000004,3145.483333333333,4664.916666666667
2000,30184.01666666667,16791.3,12528.650000000003,3246.683333333333,4760.916666666667
2001,30935.81666666667,17220.1,12618.850000000004,3348.483333333333,4863.116666666667
2002,31688.81666666667,17626.899999999998,12717.650000000003,3442.883333333333,4949.116666666667
2003,32474.21666666667,18035.699999999997,12840.850000000004,3536.2833333333333,5022.916666666667
2004,33400.41666666667,18474.899999999998,12966.650000000003,3641.0833333333335,5088.516666666667
2005,34557.81666666667,19010.1,13106.050000000003,3774.6833333333334,5167.716666666667
2006,36110.01666666667,19700.699999999997,13271.650000000003,3976.2833333333333,5285.716666666667
2007,38044.41666666667,20562.899999999998,13462.050000000003,4218.283333333333,5466.716666666667
2008,40267.81666666667,21545.3,13679.450000000003,4514.483333333333,5696.716666666667
2009,42708.216666666674,22658.899999999998,13937.250000000002,4842.6833333333325,5953.716666666667
2010,45789.01666666668,24019.899999999998,14259.450000000003,5197.483333333333,6248.716666666667
2011,49674.41666666668,25754.3,14709.250000000002,5603.283333333333,6599.3166666666675
2012,54808.21666666668,28080.5,15297.650000000001,6237.083333333333,7037.516666666667
2013,60981.016666666685,30861.1,16002.850000000002,7044.083333333333,7559.516666666667
2014,68110.81666666668,33918.7,16806.850000000002,8014.483333333333,8173.3166666666675
2015,75268.21666666667,37046.1,17687.050000000003,9105.883333333333,8880.916666666668
2016,81808.01666666668,40096.7,18559.850000000002,10273.883333333333,9608.916666666668
2017,87200.21666666667,42738.899999999994,19390.250000000004,11321.683333333332,10297.316666666668
2018,91598.81666666668,45126.49999999999,20159.050000000003,12283.283333333333,10977.916666666668
2019,95253.31666666668,47415.99999999999,20911.050000000003,13190.533333333333,11653.416666666668
2020,98389.31666666668,49656.33333333333,21632.71666666667,14079.866666666667,12295.416666666668
