year,lat,long,count
1970,-37.81319,144.96298,1
1970,-34.89115,-56.18721,33
1970,-34.86482,-57.90852,1
1970,-34.61768,-58.44444,12
1970,-34.42244,-58.73776,1
1970,-32.95105,-60.66636,1
1970,-31.63237,-60.69936,1
1970,-31.3993,-64.18213,2
1970,-30.03411,-51.21784,1
1970,-27.58325,-56.68333,1
1970,-26.80828,-65.21759,1
1970,-25.28277,-57.63561,1
1970,-23.55071,-46.63348,1
1970,-22.90828,-43.19703,3
1970,-8.04802,-34.87634,1
1970,5.0591,-75.50596,1
1970,10.06351,-69.33472,1
1970,10.48283,-66.96213,1
1970,11.58656,122.75372,1
1970,12.10382,-86.26701,1
1970,14.59605,120.97867,2
1970,14.62287,-90.52907,3
1970,14.67428,121.0575,2
1970,15.153,120.59194,1
1970,15.18592,120.54187,1
1970,15.4786,120.59974,1
1970,15.67505,120.33162,1
1970,18.37963,-67.18842,4
1970,18.38,-65.83095,1
1970,18.38693,-66.06113,11
1970,18.44196,-66.02632,1
1970,18.45679,-69.95116,2
1970,18.46079,-66.26488,1
1970,19.37189,-99.08662,2
1970,24.89112,67.14331,1
1970,25.72085,-80.27786,2
1970,25.77459,-80.2142,2
1970,26.0112,-80.14949,1
1970,27.19999,-80.25536,1
1970,27.77118,-82.63932,2
1970,27.8074,-82.68977,1
1970,28.53824,-81.37739,2
1970,28.94956,-95.34437,1
1970,29.64766,-82.34846,1
1970,29.81382,-95.3653,5
1970,30.44334,-91.18699,4
1970,30.49392,-90.13251,1
1970,30.58814,-84.58093,1
1970,31.19806,29.91917,1
1970,31.53024,35.09416,1
1970,31.95,35.93333,8
1970,32.22223,-110.92575,1
1970,32.3575,-84.95623,1
1970,32.50064,-94.74108,2
1970,32.71569,-117.16172,3
1970,33.44826,-112.07577,1
1970,33.58041,130.39636,2
1970,33.60651,-88.65042,3
1970,33.62905,-117.69125,1
1970,33.65597,-84.44896,1
1970,33.68373,-117.79461,3
1970,33.73787,-118.28466,1
1970,33.74557,-117.86783,1
1970,33.76672,-118.1924,1
1970,33.78382,-118.11409,2
1970,33.83651,-86.25475,1
1970,33.87112,-117.8614,1
1970,33.88292,-117.9291,2
1970,33.88716,-118.41084,1
1970,33.88852,35.50351,1
1970,33.89528,-118.22433,1
1970,33.94615,-118.08295,1
1970,33.948,-83.37732,1
1970,33.94832,-86.47294,1
1970,33.96307,-118.23257,1
1970,34.06268,-117.16318,1
1970,34.06857,-118.02761,1
1970,34.09787,-118.40738,12
1970,34.10524,-117.29412,1
